"Path","Lines","HeadingCount","H1","TopHeadings"
"docs\SCRIPT_DECISION_REPORT.md","59","5","# Script Decision Policy — Current vs Desired & Changes","# Script Decision Policy — Current vs Desired & Changes || ## Short report: current vs desired behavior || ### Truth table (who can approve/reject) || ## Exact files changed || ## How to test manually in production"
"docs\SCRIPT_DECISION_VERIFICATION.md","97","8","# Script Decision Policy — Verification & Manual Tests","# Script Decision Policy — Verification & Manual Tests || ## Current vs desired behavior (aligned) || ## Deterministic checks (expected outcomes) || ## Audit logging || ## How to test manually in production || ## Single source of truth (GET decision/can + POST decision)"
"docs\SCRIPT_WORKSPACE_AND_VIEWER.md","187","18","# Script workspace: import, pages, viewer, and findings","# Script workspace: import, pages, viewer, and findings || ## 1. What the script workspace is || ## 2. How imported documents are processed || ### 2.1 Upload flow (high level) || ### 2.2 TXT || ### 2.3 PDF"
"docs\script-import-and-editor-audit.md","397","61","# Script Import and Editor Audit (RaawiFilm)","# Script Import and Editor Audit (RaawiFilm) || ## 1. Overview || ## 2. Frontend: Script creation & upload flow || ### File paths || ### File input and accept || ### Upload handler: `handleFileUpload` (lines 346–406)"
"docs\script.md","348","0","",""
"docs\SECURITY_VALIDATION_REPORT.md","158","21","# Security Validation Report","# Security Validation Report || ## RaawiFilm Platform || ## 1) Executive Readout (Simple + Direct) || ## 2) Validation Methodology || ## 3) Analyst Claims — High-Tech but Clear Verdict || ## 4) Technical Evidence (Readable Form)"
"docs\SELECTION_BUG_INVESTIGATION.md","132","7","# Selection bug investigation: text selection snaps away in script viewer","# Selection bug investigation: text selection snaps away in script viewer || ## Problem || ## Step 1 — DOM element that renders the script text || ## Step 2 — CSS that could affect selection || ## Step 3 — Re-render as the cause || ## Step 4 — Minimal fix (single change)"
"docs\session-timeout-BUG-08.md","18","3","# Session Timeout (BUG-08)","# Session Timeout (BUG-08) || ## What was fixed (app) || ## Supabase (project-level)"
"docs\SETTINGS_AUDIT.md","53","5","# Settings Page — Audit (What Works vs What’s Not Applied)","# Settings Page — Audit (What Works vs What’s Not Applied) || ## 1. Working (saved and effective) || ## 2. Applied (wired to the app) || ## 3. Not applied (deferred) || ## 4. Summary"
"docs\SITICH_RESPONSE_REPORT.md","143","14","# Formal Response to SITICH Security Claims","# Formal Response to SITICH Security Claims || ## RaawiFilm Platform — Technical Clarification and Validation Position || ## 1) Respectful Acknowledgement || ## 2) Scope Clarification (What can and cannot be concluded) || ### 2.1 What SITICH likely observed || ### 2.2 What requires additional proof before final conclusion"
"docs\STRICT_MODE_UPGRADE.md","172","22","# STRICT MODE AI Analysis Upgrade","# STRICT MODE AI Analysis Upgrade || ## Overview || ## Key Changes || ### Judge Prompt: v1.2 → v1.3 (STRICT MODE) || #### What Changed: || #### Philosophy Shift:"
"docs\TAXONOMY_EXTRACTION_VALIDATION.md","48","5","# Taxonomy extraction – validation summary","# Taxonomy extraction – validation summary || ## Counts || ## Per-article atom counts || ## Numbering gaps || ## Output file"
"docs\TEST_SCRIPT_ANALYSIS.md","139","13","# Test Script Analysis - ""وحيد أبو نغم (الجزء الرابع)""","# Test Script Analysis - ""وحيد أبو نغم (الجزء الرابع)"" || ## Script Content Summary: || ## Expected Violations (What AI Should Detect): || ### 🚨 VIOLATION #1: Insult/Defamation (نصاب) || ## ✅ Clean Content (No Violations Expected): || ### Technical Metadata:"
"docs\TROUBLESHOOTING_CORS.md","100","6","# Why you see “CORS policy: No 'Access-Control-Allow-Origin' header” on Access Control","# Why you see “CORS policy: No 'Access-Control-Allow-Origin' header” on Access Control || ## What’s going on || ## How local Supabase works || ## Fix 1: Run Edge Functions with JWT verification disabled (required for CORS from browser) || ## Fix 2: Use the mock API (no backend, no CORS) || ## Summary"
"docs\UNICODE_EXTRACT_PIPELINE.md","38","6","# Unicode & PDF text extraction — what to expect","# Unicode & PDF text extraction — what to expect || ## Honest scope || ## Strategy (best practice for this product) || ## Where it lives || ## QA matrix (recommended) || ## If something still breaks"
"docs\UPLOAD_ASSIGN_FIX_REPORT.md","47","6","# Admin assign + upload fix — root cause and deliverables","# Admin assign + upload fix — root cause and deliverables || ## Root cause (why Invalid JWT only in isAssigning path) || ## Files changed || ## Verification checklist || ## Proof || ## After fix"
"docs\USER_CREATION_SIMPLIFICATION.md","56","6","# User Creation Simplification — Design & Standards","# User Creation Simplification — Design & Standards || ## 1. Principle: Single source of truth || ## 2. Why remove section toggles || ## 3. What stays the same (no breaking changes) || ## 4. Implementation checklist || ## 5. Default sections per role (reference)"
"docs\user-guide\أدوار_الموافقة_والرفض.md","64","8","# أدوار المستخدمين في الموافقة على النصوص ورفضها","# أدوار المستخدمين في الموافقة على النصوص ورفضها || ## نظرة عامة || ## من يمكنه الموافقة أو الرفض؟ || ## قاعدة تضارب المصالح || ## الجهة الرقابية (المراجع) || ## المشرف (Admin)"
"docs\VERIFICATION.md","223","11","# Verification — PolicyMap taxonomy & source badges","# Verification — PolicyMap taxonomy & source badges || ## 0) Audit Log MVP (optional) || ## 0.4) Audit Log PDF export (AR/EN) || ## 0.48) Glossary / Lexicon PDF export (AR/EN) || ## 0.47) Clients PDF export (AR/EN) — v1 complete || ## 0.5) Analysis Report PDF export (AR/EN)"
"docs\ZERO_FINDINGS_DEBUG.md","207","16","# Zero Findings Debug Guide","# Zero Findings Debug Guide || ## 🚨 Issue: Analysis returns 0 findings || ### Root Cause Identified: || ## ✅ Fix Applied || ## 🔍 Verification Steps || ### **1. Check Worker Logs**"
"docs\خيارات_تجميع_التحليل.md","67","11","# خيارات تجميع نتائج التحليل","# خيارات تجميع نتائج التحليل || ## الخيار الأول: بطاقة واحدة لكل موقع (موصى به) || ### ماذا يعني؟ || ### الإيجابيات || ### السلبيات || ## الخيار الثاني: بطاقة لكل ظهور"
"docs\كيف_يعمل_التحليل_لغير_المختصين.md","150","11","# كيف يعمل تحليل النص في المنصة؟","# كيف يعمل تحليل النص في المنصة؟ || ## ماذا يفعل التحليل؟ || ## المراحل الرئيسية للتحليل || ### المرحلة ١ — القائمة الثابتة (المعجم) || ### المرحلة ٢ — اختيار المواد الأكثر صلة (المرشّح) || ### المرحلة ٣ — الفحص المتخصص (المسارات المتعددة)"
"docs\مواد_ومفردات_GCAM.md","294","28","# مواد ومفردات نظام GCAM المستخدمة في التحليل","# مواد ومفردات نظام GCAM المستخدمة في التحليل || ## نظرة عامة || ## المواد من 1 إلى 24 (ضمن نطاق التحليل) || ### المادة 1 — التعريفات || ### المادة 2 — نطاق التطبيق || ### المادة 3 — المسؤولية"
"enhancement plan.md","507","0","",""
"implementation_plan.md","48","17","# Production Readiness & Stabilization Plan","# Production Readiness & Stabilization Plan || ## Proposed Changes || ### 1. Environment & Localhost Hygiene || #### [MODIFY] [cors.ts](file:///d:/Waheed/MypProjects/RawwiFilm/supabase/functions/_shared/cors.ts) || #### [MODIFY] [env.ts](file:///d:/Waheed/MypProjects/RawwiFilm/apps/web/src/lib/env.ts) || #### [MODIFY] [upload/index.ts](file:///d:/Waheed/MypProjects/RawwiFilm/supabase/functions/upload/index.ts)"
"issues.md","429","47","# Raawifilm — Code Audit & Issues Report","# Raawifilm — Code Audit & Issues Report || ## Summary || ## 1. Critical Issues || ### 1.1 Clients.tsx — Wrong hook: `useState` used instead of `useEffect` for side effect || ### 1.2 Scripts.tsx — Wrong property names: `clientId` and `c.id` (API uses `companyId`) || ### 1.3 Audit.tsx — Use of `supabase.auth.admin` in the browser"
"MemoryFile.md","640","0","",""
"PDF_EXPORT_ARCHITECTURE.md","712","20","# RaawiX PDF Export System Architecture","# RaawiX PDF Export System Architecture || ## Overview || ## Architecture Diagram || ## Key Components || ### 1. API Endpoint (`pdf-export.ts`) || ### 2. Rendering Engine (`pdf-template-renderer.ts`)"
"prod-audit.md","35","6","# Production Readiness Audit Report - RaawiFilm","# Production Readiness Audit Report - RaawiFilm || ## 1. Localhost & Environment Hygiene || ## 2. Runtime Stability (Frontend) || ## 3. Docker & Deployment || ## 4. Database URL Hygiene || ## Next Steps"
"SCRIPT_ANALYSIS_FEATURE_REPORT1.md","588","36","# Script Analysis Feature — Technical Report","# Script Analysis Feature — Technical Report || ## 1. Executive Summary || ## 2. AI Model Used || ## 3. Pipeline Overview || ### 3.1 High-Level Flow || ### 3.2 Detailed Pipeline"
"SCRIPT_ANALYSIS_FEATURE_REPORT2.md","292","27","# Script Analysis Feature — Technical Report","# Script Analysis Feature — Technical Report || ## 1. Executive Summary || ## 2. AI Model Used || ## 3. Pipeline Overview || ### 3.1 High-Level Flow || ### 3.2 Detailed Pipeline"
"supabase\functions\_shared\fonts\README.md","22","1","#","# PDF Fonts (Roboto + Cairo)"
